Creato come nuovo set dati;Sample 013 By Administrator Date martedì, novembre 22 2022
cm-1;%T
3391.00;83.85
3390.00;83.82
3389.00;83.78
3388.00;83.77
3387.00;83.76
3386.00;83.77
3385.00;83.77
3384.00;83.77
3383.00;83.77
3382.00;83.78
3381.00;83.79
3380.00;83.80
3379.00;83.80
3378.00;83.79
3377.00;83.79
3376.00;83.80
3375.00;83.82
3374.00;83.86
3373.00;83.90
3372.00;83.95
3371.00;83.98
3370.00;84.00
3369.00;84.00
3368.00;83.98
3367.00;83.93
3366.00;83.89
3365.00;83.86
3364.00;83.85
3363.00;83.86
3362.00;83.88
3361.00;83.89
3360.00;83.88
3359.00;83.86
3358.00;83.84
3357.00;83.83
3356.00;83.81
3355.00;83.81
3354.00;83.84
3353.00;83.89
3352.00;83.94
3351.00;83.96
3350.00;83.95
3349.00;83.91
3348.00;83.87
3347.00;83.86
3346.00;83.87
3345.00;83.89
3344.00;83.91
3343.00;83.92
3342.00;83.93
3341.00;83.94
3340.00;83.95
3339.00;83.94
3338.00;83.92
3337.00;83.89
3336.00;83.86
3335.00;83.84
3334.00;83.82
3333.00;83.81
3332.00;83.80
3331.00;83.80
3330.00;83.80
3329.00;83.80
3328.00;83.81
3327.00;83.82
3326.00;83.83
3325.00;83.85
3324.00;83.86
3323.00;83.85
3322.00;83.84
3321.00;83.82
3320.00;83.81
3319.00;83.80
3318.00;83.79
3317.00;83.79
3316.00;83.80
3315.00;83.81
3314.00;83.81
3313.00;83.80
3312.00;83.77
3311.00;83.75
3310.00;83.73
3309.00;83.71
3308.00;83.71
3307.00;83.71
3306.00;83.72
3305.00;83.72
3304.00;83.71
3303.00;83.67
3302.00;83.63
3301.00;83.58
3300.00;83.53
3299.00;83.50
3298.00;83.49
3297.00;83.51
3296.00;83.53
3295.00;83.54
3294.00;83.53
3293.00;83.51
3292.00;83.47
3291.00;83.43
3290.00;83.39
3289.00;83.36
3288.00;83.34
3287.00;83.32
3286.00;83.31
3285.00;83.31
3284.00;83.31
3283.00;83.32
3282.00;83.33
3281.00;83.31
3280.00;83.28
3279.00;83.24
3278.00;83.22
3277.00;83.22
3276.00;83.24
3275.00;83.25
3274.00;83.25
3273.00;83.22
3272.00;83.17
3271.00;83.12
3270.00;83.08
3269.00;83.06
3268.00;83.06
3267.00;83.06
3266.00;83.03
3265.00;82.99
3264.00;82.94
3263.00;82.89
3262.00;82.87
3261.00;82.86
3260.00;82.85
3259.00;82.84
3258.00;82.82
3257.00;82.79
3256.00;82.76
3255.00;82.73
3254.00;82.68
3253.00;82.63
3252.00;82.58
3251.00;82.56
3250.00;82.55
3249.00;82.55
3248.00;82.54
3247.00;82.53
3246.00;82.50
3245.00;82.46
3244.00;82.42
3243.00;82.36
3242.00;82.31
3241.00;82.27
3240.00;82.24
3239.00;82.24
3238.00;82.25
3237.00;82.27
3236.00;82.26
3235.00;82.22
3234.00;82.14
3233.00;82.06
3232.00;81.98
3231.00;81.92
3230.00;81.88
3229.00;81.85
3228.00;81.82
3227.00;81.78
3226.00;81.73
3225.00;81.68
3224.00;81.64
3223.00;81.62
3222.00;81.59
3221.00;81.56
3220.00;81.52
3219.00;81.46
3218.00;81.41
3217.00;81.36
3216.00;81.33
3215.00;81.30
3214.00;81.26
3213.00;81.22
3212.00;81.17
3211.00;81.13
3210.00;81.09
3209.00;81.05
3208.00;81.00
3207.00;80.96
3206.00;80.90
3205.00;80.85
3204.00;80.80
3203.00;80.74
3202.00;80.69
3201.00;80.66
3200.00;80.64
